strategy,n_days,cumulative_return,annual_return,annual_vol,sharpe_zero_rf,max_drawdown,worst_day,mean_exposure,turnover,sample
SPXT buy and hold,1625.0,1.5284773402286684,0.1547132370502471,0.2051009929158423,0.7543270993023886,-0.3379046158626986,-0.11979865468010176,1.0,0.0,2020+ holdout
VIX-term model overlay,1625.0,0.875392153649766,0.10242811836875121,0.13507827061724356,0.7582871612192201,-0.21173570084770466,-0.05989932734005088,0.8033846153846154,60.0,2020+ holdout
AR/IVM stress overlay,1625.0,1.4494641516300124,0.14904211580738935,0.16678130249769116,0.893638037210152,-0.24948165390950805,-0.05989932734005088,0.9166153846153846,39.0,2020+ holdout
Combined model overlay,1625.0,1.0585537258493645,0.11847495070382186,0.19017663130154236,0.6229732322683171,-0.3127799384064929,-0.11979865468010176,0.9258461538461539,51.0,2020+ holdout
SPXT buy and hold,4160.0,7.920929161355277,0.14175499159888338,0.1722382297219674,0.8230170028321178,-0.3379046158626988,-0.11979865468010176,1.0,0.0,2010-current expanding
Expanding AR/IVM stress overlay,4160.0,6.64284865387506,0.1311101145298963,0.14832228023038005,0.8839542806802246,-0.238992592047518,-0.066487170433145,0.9342548076923077,79.0,2010-current expanding
