indicator,target,coverage,base_event_rate_pct,conditional_event_rate_pct,lift_vs_base
AR equity ATM top decile,event_dd10_h20,0.10021629416005767,3.091040811398213,8.633093525179856,2.7929406474820144
AR broad ATM top decile,event_dd10_h20,0.10021629416005767,3.091040811398213,6.71462829736211,2.172287170263789
AR energy ATM top decile,event_dd10_h20,0.10021629416005767,3.091040811398213,6.71462829736211,2.172287170263789
AR stress score top decile,event_dd10_h20,0.10021629416005767,3.091040811398213,6.474820143884892,2.094705485611511
AR ES RR25 bottom decile,event_dd10_h20,0.09997596731554914,3.091040811398213,5.528846153846153,1.7886681189903846
AR PCA absorption top decile,event_dd10_h20,0.10021629416005767,3.091040811398213,2.6378896882494005,0.8533985311750599
AR agriculture ATM top decile,event_dd10_h20,0.10021629416005767,3.091040811398213,0.4830917874396135,0.15628774154589373
AR equity ATM top decile,event_dd5_h20,0.10021629416005767,15.02052644288819,29.73621103117506,1.9797049819951114
AR stress score top decile,event_dd5_h20,0.10021629416005767,15.02052644288819,23.501199040767386,1.564605550286459
AR ES RR25 bottom decile,event_dd5_h20,0.09997596731554914,15.02052644288819,22.83653846153846,1.5203553982191442
AR broad ATM top decile,event_dd5_h20,0.10021629416005767,15.02052644288819,20.863309352517987,1.388986559948183
AR energy ATM top decile,event_dd5_h20,0.10021629416005767,15.02052644288819,20.863309352517987,1.388986559948183
AR agriculture ATM top decile,event_dd5_h20,0.10021629416005767,15.02052644288819,6.763285024154589,0.4502695061900989
AR PCA absorption top decile,event_dd5_h20,0.10021629416005767,15.02052644288819,6.71462829736211,0.4470301572247026
