strategy,ann_excess_return,ci_5,ci_50,ci_95
Validation-selected AR/IVM rule,-0.06129673130753575,-0.13757626295313383,-0.0665317935650008,0.017878832598634434
Reference AR/IVM 85th pct 50% overlay,-0.011907645233613012,-0.042598043819936954,-0.013966579382238383,0.022522101613667123
Exploratory AR/IVM 95th pct cash overlay,0.021828284342802658,-0.029535302114257322,0.0163083243518765,0.08859321101173866
